epoch,train_loss,test_miou,oa,non_iou,landslide_iou,landslide_f1,precision,recall,tn,fp,fn,tp
34,0.613860809803009,0.6711157467879981,0.9676513671869094,0.9670104632845336,0.37522103029146264,0.5456882761196287,0.6397989949620141,0.47571364518792836,155357.0,1792.0,3508.0,3183.0
35,0.6300323486328125,0.6680146875768737,0.9684875488275339,0.967898179466171,0.3681311956875764,0.5381518438723705,0.6702317290403246,0.44955910924451414,155669.0,1480.0,3683.0,3008.0
36,0.6052462577819824,0.6656994483824454,0.9688476562494086,0.968284347231114,0.363114549533777,0.5327718309545145,0.6874557051573954,0.4349125691162022,155826.0,1323.0,3781.0,2910.0
37,0.608731210231781,0.6606017200055853,0.9686950683587837,0.9681509677653715,0.35305247224579905,0.521860678325919,0.6935084241651758,0.4183231206035223,155912.0,1237.0,3892.0,2799.0
38,0.6006142616271972,0.6596977035140138,0.9684570312494089,0.9679083948602711,0.35148701216775646,0.5201485137483612,0.6866879136875046,0.41862202958573275,155871.0,1278.0,3890.0,2801.0
39,0.6115201711654663,0.6748254321630005,0.9673522949212846,0.9666770495882341,0.38297381473776704,0.5538409716016269,0.6266515666170885,0.49618891046934405,155171.0,1978.0,3371.0,3320.0
40,0.6050081133842469,0.6750668154944789,0.9661560058587852,0.9654243544730313,0.3847092765159264,0.5556534481293413,0.5989979267346407,0.518158720661812,154828.0,2321.0,3224.0,3467.0
41,0.579726243019104,0.6734497348579667,0.9680969238275341,0.9674622145856879,0.3794372551302453,0.5501333533277731,0.6485389610258008,0.4776565535722963,155417.0,1732.0,3495.0,3196.0
42,0.5948488235473632,0.666620703643148,0.9688598632806587,0.9682924404001241,0.3649489668861719,0.5347437058368988,0.6858479532003311,0.4382005679205171,155806.0,1343.0,3759.0,2932.0
43,0.5695935606956481,0.6747042364865804,0.9683593749994089,0.9677290836647362,0.3816793893084246,0.55248613904034,0.6539955037675456,0.4782543715367172,155456.0,1693.0,3491.0,3200.0
44,0.5837725520133972,0.6752901122661273,0.9690429687494085,0.9684386725817387,0.38214155195051597,0.5529701613658653,0.6738990332830527,0.4688387385970881,155631.0,1518.0,3554.0,3137.0
45,0.5710584282875061,0.6686186923920732,0.9688415527337837,0.968263342761513,0.36897404202263323,0.5390518708957516,0.6808850364808192,0.446121655949094,155750.0,1399.0,3706.0,2985.0
46,0.5816486358642579,0.6609164508848017,0.9692504882806584,0.968725557141369,0.3531073446282344,0.5219206216903262,0.7148427345798065,0.41099985053936633,156052.0,1097.0,3941.0,2750.0
47,0.5626303195953369,0.6636761666062916,0.9694152832025333,0.9688835072025777,0.3584688260100055,0.527754170721516,0.7142857142674928,0.41847257509462754,156029.0,1120.0,3891.0,2800.0
48,0.5644560933113099,0.6754727609782825,0.9687561035150337,0.9681386736370907,0.3828068483194742,0.5536663564734059,0.6645039765453222,0.47451800925908655,155546.0,1603.0,3516.0,3175.0
49,0.5366690814495086,0.6802598022021549,0.9674255371087845,0.9667213308967427,0.393798273507567,0.5650720716621678,0.6213261648634171,0.518158720661812,155036.0,2113.0,3224.0,3467.0
50,0.5873108267784118,0.6794575757224641,0.9675720214837844,0.966879449424011,0.3920357020209173,0.5632551909350516,0.6258677383882743,0.5120310865264979,155101.0,2048.0,3265.0,3426.0
51,0.5449913501739502,0.6769964253343665,0.9676025390619094,0.9669258760773597,0.38706697459137335,0.5581085087496699,0.6299567750304462,0.5009714541847112,155180.0,1969.0,3339.0,3352.0
52,0.5208480477333068,0.6674589597010229,0.9688720703119087,0.9683009298387896,0.3666169895632561,0.5365321224452394,0.6844423834758998,0.4411896577426216,155788.0,1361.0,3739.0,2952.0
53,0.5401064157485962,0.6637048291706593,0.9680480957025341,0.9674634546533366,0.3599462036879821,0.5293535437097453,0.6642599277828461,0.4399940218137798,155661.0,1488.0,3747.0,2944.0
54,0.5390334069728852,0.6661448057514843,0.9687377929681588,0.9681679479444846,0.3641216635584839,0.5338550670342919,0.6825692343336615,0.43835002241162235,155785.0,1364.0,3758.0,2933.0
55,0.5445654153823852,0.6674255393121273,0.9696350097650331,0.9690938119282547,0.36575726669600006,0.5356108930729204,0.7133267031150342,0.428784934980888,155996.0,1153.0,3822.0,2869.0
56,0.5341901063919068,0.6789000270679676,0.9695861816400332,0.968986120619301,0.3888139335166342,0.5599222337241654,0.6843696027486104,0.47377073680356047,155687.0,1462.0,3521.0,3170.0
57,0.5592810988426209,0.6707552181662413,0.9701110839837829,0.9695725114943646,0.37193792483811805,0.542208048867815,0.7239141287887191,0.43341802420514997,156043.0,1106.0,3791.0,2900.0
58,0.535265576839447,0.6397557609097864,0.9693542480462833,0.968925224968146,0.3105862968514268,0.47396538499498514,0.7925718289841426,0.33806605888001695,156557.0,592.0,4429.0,2262.0
59,0.5110596299171448,0.671875601291835,0.9697509765619081,0.9691928987014712,0.3745583038821989,0.5449870991326444,0.706498452732528,0.4435809296003052,155916.0,1233.0,3723.0,2968.0
60,0.5152094781398773,0.6748078839945694,0.9688354492181587,0.9682249271893011,0.3813908407998377,0.5521837788968017,0.6682233071392863,0.4704827379992455,155586.0,1563.0,3543.0,3148.0
