epoch,train_loss,test_miou,oa,non_iou,landslide_iou,landslide_f1,precision,recall,tn,fp,fn,tp
1,1.2413515329360962,0.5329575760092229,0.9615661621087881,0.9613929677195908,0.10452218429885492,0.18926223954871452,0.6830855017952522,0.10984905096233973,156808.0,341.0,5956.0,735.0
2,1.094398832321167,0.6140877457102746,0.956848144530666,0.9561408950477325,0.27203459637281674,0.42771566994427884,0.4665371711024804,0.3948587655000021,154128.0,3021.0,4049.0,2642.0
3,1.0055388450622558,0.6023429134138975,0.92575073242131,0.9235300033938952,0.28115582343389967,0.4389096017109843,0.31741160773637483,0.7111044686786564,146917.0,10232.0,1933.0,4758.0
4,0.9702694296836853,0.6062020652735558,0.9267700195306844,0.9245361343474907,0.2878679961996209,0.44704576801413287,0.3231825148242608,0.724854281860337,146992.0,10157.0,1841.0,4850.0
5,0.9434391021728515,0.6441823303005703,0.9520935058587939,0.9508952590677351,0.3374694015334053,0.5046386384848215,0.4367489621975448,0.597519055438686,151993.0,5156.0,2693.0,3998.0
6,0.9195249557495118,0.6543786375812782,0.9606750488275386,0.9598284150205691,0.3489288601419874,0.5173420729980279,0.5186242114671279,0.5160663577863389,153944.0,3205.0,3238.0,3453.0
7,0.8741164326667785,0.6582439136598416,0.9621337890619127,0.9613272411057259,0.35516058621395735,0.5241600972886212,0.5383645816836559,0.5106859961065509,154219.0,2930.0,3274.0,3417.0
8,0.8712643980979919,0.6723016675549243,0.9615417480462881,0.9605970783925155,0.38400625671733296,0.5549197777891064,0.5261184034218307,0.5870572410613203,153611.0,3538.0,2763.0,3928.0
9,0.8480008721351624,0.6770427574726803,0.9637695312494118,0.9629060277698855,0.39117948717547507,0.5623709320119203,0.5549250691029401,0.5700194290753248,154090.0,3059.0,2877.0,3814.0
10,0.8476670980453491,0.6669531125983728,0.9671203613275348,0.9664802035946721,0.3674260216020734,0.5373979760066427,0.6316108195270164,0.46764310266824627,155324.0,1825.0,3562.0,3129.0
11,0.8437023758888245,0.6328074123051778,0.9681640624994091,0.9677281642293876,0.297886660380968,0.4590333530743596,0.7499152829295184,0.330742788815861,156411.0,738.0,4478.0,2213.0
12,0.810707974433899,0.6538776226676662,0.9680969238275341,0.9675633745999146,0.34019187073541796,0.5076763214705801,0.6864493122596421,0.402779853528579,155918.0,1231.0,3996.0,2695.0
13,0.7939310193061828,0.6696534456966188,0.9664733886712851,0.9657895556310742,0.37351733576216334,0.5438843647915891,0.6119207772680882,0.489463458369609,155072.0,2077.0,3416.0,3275.0
14,0.7681530714035034,0.6723659675754173,0.9644775390619114,0.9636833336447308,0.38104860150610387,0.5518249923913047,0.569181890380156,0.535495441630018,154437.0,2712.0,3108.0,3583.0
15,0.7556720018386841,0.6673367153373588,0.9649169921869111,0.9641773185333365,0.370496112141381,0.5406743948539433,0.5809720075462653,0.5056045434089732,154709.0,2440.0,3308.0,3383.0
