Variant,Run,Seed,Test_mIoU,Landslide_IoU,Landslide_F1,Precision,Recall
Mean,-,Mean,0.7074353333333333,0.430704,0.602074,0.580132,0.6264856666666667
Std,-,Std,0.003012678099852917,0.005335977792307627,0.005221382671285412,0.020911887361020304,0.01420960472122055
