epoch,train_loss,val_loss,lr,miou,oa,non_iou,landslide_iou,landslide_f1,precision,recall,tn,fp,fn,tp,best_landslide_iou
31,0.529816,0.757678,1.4741128634477315e-05,0.663664,0.986134,0.986033,0.341294,0.508903,0.646716,0.419507,3929581.0,15754.0,39906.0,28839.0,0.43466628811042196
32,0.529182,0.708084,1.3984337282619027e-05,0.686666,0.986702,0.986589,0.386742,0.557771,0.647833,0.489694,3927035.0,18300.0,35081.0,33664.0,0.43466628811042196
33,0.528716,0.699612,1.3231700256916652e-05,0.693208,0.986809,0.986692,0.399723,0.571146,0.644301,0.51291,3925869.0,19466.0,33485.0,35260.0,0.43466628811042196
34,0.528125,0.709773,1.2485280483142488e-05,0.68732,0.986735,0.986623,0.388017,0.559095,0.648987,0.491076,3927076.0,18259.0,34986.0,33759.0,0.43466628811042196
35,0.525425,0.703126,1.1747123846013451e-05,0.68881,0.986264,0.986142,0.391478,0.562679,0.618673,0.515979,3923472.0,21863.0,33274.0,35471.0,0.43466628811042196
36,0.521179,0.697615,1.1019253581563263e-05,0.692809,0.986657,0.986538,0.39908,0.570489,0.635689,0.517419,3924950.0,20385.0,33175.0,35570.0,0.43466628811042196
37,0.522108,0.713396,1.0303664731593145e-05,0.686768,0.986994,0.986887,0.386649,0.557674,0.667803,0.478726,3928964.0,16371.0,35835.0,32910.0,0.43466628811042196
38,0.523431,0.724507,9.602318675400898e-06,0.680611,0.986577,0.986468,0.374755,0.545195,0.649427,0.469794,3927901.0,17434.0,36449.0,32296.0,0.43466628811042196
39,0.520811,0.691887,8.91713775377657e-06,0.694313,0.985963,0.985829,0.402798,0.574278,0.597463,0.552826,3919730.0,25605.0,30741.0,38004.0,0.43466628811042196
40,0.520269,0.698774,8.25e-06,0.694069,0.987399,0.987292,0.400846,0.572291,0.683437,0.492239,3929661.0,15674.0,34906.0,33839.0,0.43466628811042196
41,0.519864,0.720073,7.602733992282109e-06,0.683443,0.987214,0.987113,0.379773,0.550487,0.691707,0.457153,3931328.0,14007.0,37318.0,31427.0,0.43466628811042196
42,0.519998,0.718549,6.977113841759139e-06,0.683569,0.986987,0.986883,0.380255,0.550992,0.673482,0.466201,3929797.0,15538.0,36696.0,32049.0,0.43466628811042196
43,0.518604,0.686691,6.374854329777358e-06,0.701056,0.987449,0.987337,0.414776,0.586349,0.673114,0.519398,3927995.0,17340.0,33039.0,35706.0,0.43466628811042196
44,0.518115,0.748139,5.7976062077965595e-06,0.669653,0.987016,0.986924,0.352382,0.521128,0.707348,0.412525,3933602.0,11733.0,40386.0,28359.0,0.43466628811042196
45,0.515728,0.6961,5.246951672795061e-06,0.695737,0.987086,0.986972,0.404503,0.576009,0.657959,0.512212,3927030.0,18305.0,33533.0,35212.0,0.43466628811042196
46,0.519793,0.725949,4.724400030577786e-06,0.67984,0.986686,0.986579,0.373101,0.543443,0.658333,0.462695,3928827.0,16508.0,36937.0,31808.0,0.43466628811042196
47,0.517029,0.688546,4.231383558873922e-06,0.700002,0.987378,0.987265,0.412738,0.58431,0.67011,0.517987,3927805.0,17530.0,33136.0,35609.0,0.43466628811042196
48,0.516408,0.718413,3.769253581563263e-06,0.684945,0.987168,0.987065,0.382824,0.553685,0.684719,0.464747,3930624.0,14711.0,36796.0,31949.0,0.43466628811042196
49,0.513305,0.722894,3.3392767647913527e-06,0.681348,0.986531,0.98642,0.376275,0.546802,0.645166,0.474464,3927396.0,17939.0,36128.0,32617.0,0.43466628811042196
50,0.513745,0.712932,2.9426316451256386e-06,0.687032,0.986993,0.986885,0.387179,0.558225,0.667179,0.47986,3928879.0,16456.0,35757.0,32988.0,0.43466628811042196
51,0.513398,0.727664,2.580405399268667e-06,0.679778,0.986707,0.986601,0.372955,0.543288,0.659978,0.461663,3928984.0,16351.0,37008.0,31737.0,0.43466628811042196
52,0.513994,0.719117,2.2535908641822855e-06,0.684181,0.987061,0.986957,0.381406,0.5522,0.677871,0.465838,3930117.0,15218.0,36721.0,32024.0,0.43466628811042196
53,0.512695,0.72477,1.963083815790574e-06,0.680902,0.986815,0.98671,0.375093,0.545553,0.665793,0.462099,3929389.0,15946.0,36978.0,31767.0,0.43466628811042196
54,0.511502,0.717568,1.7096805137202735e-06,0.685306,0.98699,0.986884,0.383729,0.554631,0.670267,0.473023,3929338.0,15997.0,36227.0,32518.0,0.43466628811042196
55,0.51231,0.717617,1.4940755188085092e-06,0.684937,0.987003,0.986897,0.382977,0.553844,0.67193,0.47106,3929524.0,15811.0,36362.0,32383.0,0.43466628811042196
56,0.51252,0.720121,1.3168597893598172e-06,0.683354,0.986792,0.986685,0.380024,0.55075,0.659637,0.472718,3928567.0,16768.0,36248.0,32497.0,0.43466628811042196
57,0.510726,0.725165,1.1785190613705039e-06,0.680753,0.986742,0.986636,0.374869,0.545316,0.660738,0.464223,3928949.0,16386.0,36832.0,31913.0,0.43466628811042196
58,0.513305,0.710431,1.0794325171600355e-06,0.688145,0.986859,0.986748,0.389543,0.560678,0.655834,0.489636,3927671.0,17664.0,35085.0,33660.0,0.43466628811042196
59,0.511192,0.714086,1.0198717460586794e-06,0.686304,0.986836,0.986727,0.385881,0.556875,0.657478,0.482973,3928038.0,17297.0,35543.0,33202.0,0.43466628811042196
60,0.510504,0.715721,1e-06,0.685162,0.986828,0.98672,0.383604,0.554499,0.658937,0.478638,3928304.0,17031.0,35841.0,32904.0,0.43466628811042196
