epoch,lr,train_loss,val_loss,mIoU,OA,NonLandslide_IoU,Landslide_IoU,NonLandslide_F1,Landslide_F1,Landslide_Precision,Landslide_Recall
1,0.00029979511544580873,0.8878075362632513,0.8337511972505219,0.60063636302948,0.9624536633491516,0.9620049595832825,0.23926770687103271,0.9806345701217651,0.38614368438720703,0.26815444231033325,0.6895483136177063
2,0.0002991810233575568,0.6877926248536357,0.8033275450978961,0.5550330281257629,0.9379753470420837,0.9371605515480042,0.17290546000003815,0.9675610661506653,0.2948327362537384,0.18305940926074982,0.7571168541908264
3,0.00029815940691897306,0.5774228917545129,0.6353076737754199,0.6185921430587769,0.9650771617889404,0.9646141529083252,0.2725701928138733,0.9819883704185486,0.4283774495124817,0.2976168990135193,0.7640846371650696
4,0.0002967330663097039,0.4902218270220233,0.5755741468497685,0.6001871228218079,0.9556568264961243,0.9550081491470337,0.24536612629890442,0.9769863486289978,0.3940465748310089,0.25721994042396545,0.8418794274330139
5,0.00029490591103021566,0.42604917540428483,0.5217605002072393,0.6200301051139832,0.967012882232666,0.9665981531143188,0.2734620273113251,0.9830154180526733,0.42947807908058167,0.3051130771636963,0.7249836325645447
6,0.0002926829491861255,0.37164717766761024,0.5389585113038822,0.5889485478401184,0.9534612894058228,0.9528236389160156,0.2250734269618988,0.9758419990539551,0.367444783449173,0.23946402966976166,0.7892646789550781
7,0.0002900702737613316,0.33224042790379765,0.5345234493820035,0.5796970725059509,0.9500361084938049,0.9493634700775146,0.21003064513206482,0.9740240573883057,0.3471493124961853,0.22361402213573456,0.7756636738777161
8,0.00028707504591756876,0.3057651435287101,0.40464250895441795,0.6987226605415344,0.9852344989776611,0.9850798845291138,0.4123654067516327,0.9924838542938232,0.5839358568191528,0.5642729997634888,0.6050185561180115
9,0.00028370547536616097,0.2801922814301297,0.4156638106521295,0.6465229392051697,0.9725728034973145,0.9722127914428711,0.3208330571651459,0.9859106540679932,0.48580408096313477,0.3577727973461151,0.756534993648529
10,0.00027997079786577355,0.2645544798578454,0.37402860193836446,0.693950355052948,0.9828802347183228,0.982678234577179,0.40522247552871704,0.9912634491920471,0.5767378211021423,0.5001335144042969,0.6810531616210938
11,0.00027588124990784085,0.2545016867592323,0.41040598263545913,0.6461987495422363,0.9723328948020935,0.9719671607017517,0.32043027877807617,0.9857843518257141,0.48534223437309265,0.35612228512763977,0.7617426514625549
12,0.0002714480406590546,0.24727025352738097,0.36473124513820726,0.6979822516441345,0.9854738712310791,0.9853253364562988,0.4106391966342926,0.9926084280014038,0.5822030305862427,0.5736818313598633,0.5909811854362488
13,0.0002666833212378171,0.23617937189320196,0.33769691209403835,0.7100580334663391,0.9846911430358887,0.9845080971717834,0.43560799956321716,0.9921935796737671,0.6068620681762695,0.5416495203971863,0.6899265646934509
14,0.00026160015140887043,0.23110177673675977,0.3350271580170612,0.7091838121414185,0.9844955801963806,0.9843089580535889,0.43405869603157043,0.9920924305915833,0.6053569316864014,0.5365850925445557,0.6943486928939819
15,0.00025621246378738883,0.2269951437030475,0.3318699346513164,0.7081310153007507,0.9849422574043274,0.9847681522369385,0.4314939081668854,0.9923256635665894,0.6028581857681274,0.5497423410415649,0.6673358082771301
16,0.0002505350256506493,0.22051051126071797,0.36907186508178713,0.6807051301002502,0.9813020825386047,0.9810850024223328,0.3803252875804901,0.990452229976654,0.5510661602020264,0.4679500162601471,0.670085072517395
17,0.00024458339846195065,0.2235471004834455,0.38584550838081205,0.6723408102989197,0.9814590215682983,0.9812606573104858,0.3634209632873535,0.9905416965484619,0.5331016182899475,0.4686734676361084,0.6180667877197266
18,0.00023837389521772471,0.2142461051428497,0.3495268580864887,0.6946806311607361,0.9826787114143372,0.9824703931808472,0.4068908393383026,0.9911577105522156,0.5784255862236023,0.4959243834018707,0.6938540935516357
19,0.00023192353573474653,0.21502731153292856,0.3396153266332587,0.6985346674919128,0.9844362735748291,0.9842641353607178,0.4128052294254303,0.992069661617279,0.5843766927719116,0.5384398698806763,0.6388828158378601
20,0.00022524999999999997,0.21115260551041068,0.35778618686053215,0.6838380098342896,0.9812572002410889,0.9810331463813782,0.3866428732872009,0.9904257655143738,0.5576675534248352,0.46797969937324524,0.6898828744888306
21,0.0002183715797110622,0.20749941512954082,0.3349263974598476,0.7102205157279968,0.9855095148086548,0.9853459596633911,0.43509507179260254,0.9926189184188843,0.6063641309738159,0.5669379234313965,0.6516837477684021
22,0.00021130712813983215,0.20427222590315935,0.31838585941159,0.721411943435669,0.9874479174613953,0.9873147010803223,0.455509215593338,0.9936168789863586,0.6259104609489441,0.6392132639884949,0.6131500601768494
23,0.0002040760084570224,0.20271747607358287,0.31828435124183185,0.7082442045211792,0.9834151268005371,0.9832021594047546,0.43328621983528137,0.9915299415588379,0.6046053171157837,0.5109007954597473,0.7404029369354248
24,0.0001966980406590546,0.20428559503356983,0.38770210244217695,0.6615040898323059,0.9762393832206726,0.9759354591369629,0.3470727503299713,0.9878211617469788,0.5152992010116577,0.39599311351776123,0.737493634223938
25,0.00018919344724282683,0.19757177793499545,0.3893821597099304,0.6548984050750732,0.9740697741508484,0.973724901676178,0.3360719084739685,0.9866875410079956,0.503074586391449,0.37442347407341003,0.766412079334259
26,0.00018158279777725497,0.19536832186792297,0.3521921819570113,0.6905101537704468,0.9819694757461548,0.9817507863044739,0.39926958084106445,0.990791380405426,0.5706828832626343,0.48181572556495667,0.6997454166412354
27,0.0001738869525235145,0.19403126852689337,0.3316843822294352,0.705163836479187,0.9839205741882324,0.983725905418396,0.426601767539978,0.9917961955070496,0.598067045211792,0.5228715538978577,0.6985235214233398
28,0.00016612700525851418,0.19214034811638944,0.38708318836834965,0.6667275428771973,0.978543758392334,0.9782871603965759,0.3551678955554962,0.9890244603157043,0.5241681337356567,0.42258012294769287,0.6900574564933777
29,0.0001583242254583201,0.19053847914025732,0.3554683748556643,0.6896247863769531,0.9817255735397339,0.98150235414505,0.3977471590042114,0.9906648397445679,0.5691260099411011,0.477291077375412,0.7047203183174133
30,0.00015050000000000003,0.189549893081957,0.3593013996980628,0.6863614916801453,0.9818755388259888,0.9816620945930481,0.39106088876724243,0.9907462000846863,0.5622484087944031,0.4794360399246216,0.6796421408653259
31,0.0001426757745416799,0.18542850878904543,0.38195422474218876,0.6699689626693726,0.9784839749336243,0.9782183766365051,0.3617195785045624,0.9889892935752869,0.531268835067749,0.42372220754623413,0.7119790315628052
32,0.00013487299474148584,0.18388843105698485,0.3597033164939102,0.6904352307319641,0.9819826483726501,0.9817644357681274,0.3991059958934784,0.9907983541488647,0.5705157518386841,0.4820471704006195,0.6987562775611877
33,0.00012711304747648549,0.18272029117208682,0.34121525263299746,0.700627326965332,0.9833598136901855,0.9831584692001343,0.418096125125885,0.9915077090263367,0.5896583795547485,0.5103685855865479,0.6981162428855896
34,0.00011941720222274498,0.17929469450237437,0.34577359520659157,0.7017871141433716,0.9841263890266418,0.9839420914649963,0.4196321964263916,0.9919060468673706,0.5911843776702881,0.528852641582489,0.670172393321991
35,0.00011180655275717317,0.17547380039333577,0.3615732093246616,0.6867099404335022,0.9812360405921936,0.981005847454071,0.39241406321525574,0.9904118776321411,0.5636456608772278,0.4683489501476288,0.7076296210289001
36,0.00010430195934094536,0.17302593541760355,0.33935926009197626,0.7097077369689941,0.9853177070617676,0.9851503372192383,0.4342650771141052,0.9925196170806885,0.6055576205253601,0.560796320438385,0.6580842137336731
37,9.692399154297761e-05,0.1722499279952043,0.3636431781613097,0.6896291375160217,0.9822285771369934,0.9820179343223572,0.39724037051200867,0.9909273982048035,0.5686070322990417,0.4865913987159729,0.6838752031326294
38,8.969287186016789e-05,0.16635119648678234,0.36042527252314044,0.6947547197341919,0.9829428195953369,0.9827409386634827,0.4067685008049011,0.991295337677002,0.5783019661903381,0.5014740228652954,0.6829296946525574
39,8.262842028893776e-05,0.1677247828427162,0.34462463393503306,0.705730676651001,0.9847050905227661,0.9845287799835205,0.4269326329231262,0.9922040700912476,0.598392128944397,0.5436834096908569,0.6653429269790649
40,7.575000000000003e-05,0.16326351238257258,0.3556948537729224,0.7036625742912292,0.9847133159637451,0.9845402240753174,0.4227849543094635,0.9922099113464355,0.5943061709403992,0.5447416305541992,0.6537929773330688
41,6.90764642652535e-05,0.1598382199256161,0.3643741860681651,0.6939274668693542,0.9830307364463806,0.9828324317932129,0.4050225019454956,0.9913418889045715,0.5765352249145508,0.5034144520759583,0.6745072603225708
