epoch,train_loss,val_loss,lr,miou,oa,non_iou,landslide_iou,landslide_f1,precision,recall,tn,fp,fn,tp,best_landslide_iou
31,0.522464,0.677623,1.4741128634477315e-05,0.705732,0.988113,0.988008,0.423455,0.594968,0.714306,0.509797,3931318.0,14017.0,33699.0,35046.0,0.48138047426286246
32,0.522435,0.70941,1.3984337282619027e-05,0.689132,0.987496,0.987395,0.390869,0.56205,0.70225,0.468514,3931679.0,13656.0,36537.0,32208.0,0.48138047426286246
33,0.521876,0.685548,1.3231700256916652e-05,0.702491,0.987558,0.987446,0.417536,0.589101,0.67803,0.520794,3928334.0,17001.0,32943.0,35802.0,0.48138047426286246
34,0.518802,0.683083,1.2485280483142488e-05,0.703081,0.987597,0.987485,0.418677,0.590236,0.679657,0.521609,3928434.0,16901.0,32887.0,35858.0,0.48138047426286246
35,0.517775,0.676045,1.1747123846013451e-05,0.707172,0.988026,0.987918,0.426425,0.597893,0.703591,0.519805,3930281.0,15054.0,33011.0,35734.0,0.48138047426286246
36,0.515972,0.7295,1.1019253581563263e-05,0.677089,0.987002,0.986903,0.367275,0.537237,0.688247,0.44057,3931616.0,13719.0,38458.0,30287.0,0.48138047426286246
37,0.515754,0.704382,1.0303664731593145e-05,0.693135,0.987756,0.987655,0.398615,0.570014,0.715041,0.473896,3932352.0,12983.0,36167.0,32578.0,0.48138047426286246
38,0.516869,0.658697,9.602318675400898e-06,0.717327,0.987869,0.987749,0.446904,0.617738,0.67097,0.572333,3926041.0,19294.0,29400.0,39345.0,0.48138047426286246
39,0.513146,0.65972,8.91713775377657e-06,0.717276,0.987936,0.987818,0.446735,0.617576,0.675547,0.568769,3926556.0,18779.0,29645.0,39100.0,0.48138047426286246
40,0.517993,0.688476,8.25e-06,0.702782,0.988196,0.988095,0.417468,0.589033,0.729468,0.493941,3932742.0,12593.0,34789.0,33956.0,0.48138047426286246
41,0.516091,0.676815,7.602733992282109e-06,0.706529,0.987995,0.987888,0.42517,0.596659,0.702624,0.518467,3930250.0,15085.0,33103.0,35642.0,0.48138047426286246
42,0.514852,0.679634,6.977113841759139e-06,0.704805,0.987856,0.987747,0.421862,0.593394,0.695493,0.517434,3929761.0,15574.0,33174.0,35571.0,0.48138047426286246
43,0.511726,0.663237,6.374854329777358e-06,0.716261,0.988262,0.98815,0.444371,0.615314,0.701202,0.548171,3929277.0,16058.0,31061.0,37684.0,0.48138047426286246
44,0.509421,0.692044,5.7976062077965595e-06,0.699007,0.987868,0.987765,0.410248,0.58181,0.710138,0.492763,3931508.0,13827.0,34870.0,33875.0,0.48138047426286246
45,0.511236,0.704296,5.246951672795061e-06,0.693382,0.987609,0.987506,0.399258,0.570671,0.701728,0.480864,3931284.0,14051.0,35688.0,33057.0,0.48138047426286246
46,0.510487,0.67092,4.724400030577786e-06,0.710219,0.987949,0.987838,0.4326,0.603937,0.690805,0.536475,3928828.0,16507.0,31865.0,36880.0,0.48138047426286246
47,0.51075,0.664043,4.231383558873922e-06,0.714401,0.988109,0.987997,0.440806,0.611888,0.69374,0.547313,3928725.0,16610.0,31120.0,37625.0,0.48138047426286246
48,0.510064,0.688249,3.769253581563263e-06,0.700594,0.987934,0.987831,0.413358,0.58493,0.711863,0.496414,3931522.0,13813.0,34619.0,34126.0,0.48138047426286246
49,0.5059,0.667344,3.3392767647913527e-06,0.712696,0.988074,0.987962,0.437429,0.608627,0.694809,0.541465,3928985.0,16350.0,31522.0,37223.0,0.48138047426286246
50,0.506896,0.671488,2.9426316451256386e-06,0.710865,0.988156,0.988047,0.433683,0.604992,0.705368,0.529624,3930127.0,15208.0,32336.0,36409.0,0.48138047426286246
51,0.508857,0.669862,2.580405399268667e-06,0.712472,0.988363,0.988258,0.436686,0.607907,0.718666,0.526729,3931160.0,14175.0,32535.0,36210.0,0.48138047426286246
52,0.50789,0.658728,2.2535908641822855e-06,0.717575,0.988344,0.988233,0.446916,0.61775,0.704626,0.549945,3929487.0,15848.0,30939.0,37806.0,0.48138047426286246
53,0.508226,0.655956,1.963083815790574e-06,0.719331,0.988332,0.98822,0.450442,0.62111,0.699668,0.558412,3928857.0,16478.0,30357.0,38388.0,0.48138047426286246
54,0.507771,0.659782,1.7096805137202735e-06,0.717686,0.988246,0.988133,0.447239,0.618058,0.696789,0.555313,3928723.0,16612.0,30570.0,38175.0,0.48138047426286246
55,0.506598,0.667297,1.4940755188085092e-06,0.713212,0.988291,0.988184,0.438241,0.609413,0.710782,0.533348,3930416.0,14919.0,32080.0,36665.0,0.48138047426286246
56,0.504808,0.659007,1.3168597893598172e-06,0.717132,0.988213,0.988101,0.446164,0.617031,0.695574,0.554426,3928654.0,16681.0,30631.0,38114.0,0.48138047426286246
57,0.508081,0.661946,1.1785190613705039e-06,0.71579,0.988227,0.988116,0.443464,0.614444,0.699634,0.547749,3929169.0,16166.0,31090.0,37655.0,0.48138047426286246
58,0.506263,0.669105,1.0794325171600355e-06,0.711675,0.988145,0.988036,0.435315,0.606578,0.702637,0.533624,3929810.0,15525.0,32061.0,36684.0,0.48138047426286246
59,0.504525,0.662323,1.0198717460586794e-06,0.715552,0.98826,0.988149,0.442955,0.613955,0.702695,0.545116,3929480.0,15855.0,31271.0,37474.0,0.48138047426286246
60,0.505294,0.676031,1e-06,0.708603,0.988175,0.988069,0.429137,0.600554,0.712452,0.519034,3930934.0,14401.0,33064.0,35681.0,0.48138047426286246
