TP,FP,FN,TN,IoU,Precision,Recall,F1,Positive_Ratio_%,Area_Group,Sample
0,0,40,16344,0.0,0.0,0.0,0.0,0.244140625,0-1%,image_158.h5
91,6,219,16068,0.2879746835443038,0.9381443298969072,0.29354838709677417,0.44717444717444715,1.89208984375,1-3%,image_159.h5
0,520,2,15862,0.0,0.0,0.0,0.0,0.01220703125,0-1%,image_16.h5
34,0,165,16185,0.1708542713567839,1.0,0.1708542713567839,0.2918454935622318,1.214599609375,1-3%,image_160.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_161.h5
249,79,340,15716,0.3727544910179641,0.7591463414634146,0.4227504244482173,0.5430752453653217,3.594970703125,3-5%,image_162.h5
310,304,226,15544,0.36904761904761907,0.504885993485342,0.5783582089552238,0.5391304347826087,3.271484375,3-5%,image_163.h5
14,7,50,16313,0.19718309859154928,0.6666666666666666,0.21875,0.32941176470588235,0.390625,0-1%,image_164.h5
728,27,1225,14404,0.36767676767676766,0.9642384105960264,0.3727598566308244,0.5376661742983752,11.920166015625,>5%,image_165.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_166.h5
26,71,0,16287,0.26804123711340205,0.26804123711340205,1.0,0.42276422764227645,0.15869140625,0-1%,image_167.h5
0,472,0,15912,0.0,0.0,0.0,0.0,0.0,0-1%,image_168.h5
0,0,25,16359,0.0,0.0,0.0,0.0,0.152587890625,0-1%,image_169.h5
0,0,98,16286,0.0,0.0,0.0,0.0,0.59814453125,0-1%,image_17.h5
0,0,41,16343,0.0,0.0,0.0,0.0,0.250244140625,0-1%,image_170.h5
640,47,252,15445,0.6815761448349308,0.9315866084425036,0.7174887892376681,0.8106396453451552,5.4443359375,>5%,image_171.h5
4,4,159,16217,0.023952095808383235,0.5,0.024539877300613498,0.04678362573099415,0.994873046875,0-1%,image_172.h5
0,0,128,16256,0.0,0.0,0.0,0.0,0.78125,0-1%,image_173.h5
826,305,284,14969,0.5837455830388693,0.7303271441202476,0.7441441441441441,0.7371709058456046,6.77490234375,>5%,image_174.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_175.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_176.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_177.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_178.h5
0,0,10,16374,0.0,0.0,0.0,0.0,0.06103515625,0-1%,image_179.h5
0,0,27,16357,0.0,0.0,0.0,0.0,0.164794921875,0-1%,image_18.h5
0,40,0,16344,0.0,0.0,0.0,0.0,0.0,0-1%,image_180.h5
24,16,50,16294,0.26666666666666666,0.6,0.32432432432432434,0.42105263157894735,0.45166015625,0-1%,image_181.h5
0,363,0,16021,0.0,0.0,0.0,0.0,0.0,0-1%,image_182.h5
0,0,59,16325,0.0,0.0,0.0,0.0,0.360107421875,0-1%,image_183.h5
13,1,289,16081,0.0429042904290429,0.9285714285714286,0.04304635761589404,0.08227848101265822,1.84326171875,1-3%,image_184.h5
139,47,268,15930,0.30616740088105726,0.7473118279569892,0.3415233415233415,0.4688026981450253,2.484130859375,1-3%,image_185.h5
0,0,77,16307,0.0,0.0,0.0,0.0,0.469970703125,0-1%,image_186.h5
0,0,8,16376,0.0,0.0,0.0,0.0,0.048828125,0-1%,image_187.h5
0,0,1107,15277,0.0,0.0,0.0,0.0,6.756591796875,>5%,image_188.h5
6,0,4968,11410,0.0012062726176115801,1.0,0.0012062726176115801,0.0024096385542168677,30.35888671875,>5%,image_189.h5
0,124,0,16260,0.0,0.0,0.0,0.0,0.0,0-1%,image_19.h5
371,91,98,15824,0.6625,0.803030303030303,0.7910447761194029,0.7969924812030075,2.862548828125,1-3%,image_190.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_191.h5
0,122,1021,15241,0.0,0.0,0.0,0.0,6.231689453125,>5%,image_192.h5
0,21,0,16363,0.0,0.0,0.0,0.0,0.0,0-1%,image_193.h5
1909,410,543,13522,0.66701607267645,0.8231996550237172,0.7785481239804242,0.8002515195975687,14.9658203125,>5%,image_194.h5
185,108,1090,15001,0.13376717281272596,0.6313993174061433,0.1450980392156863,0.23596938775510204,7.781982421875,>5%,image_195.h5
472,47,414,15451,0.5058949624866024,0.9094412331406551,0.5327313769751693,0.6718861209964413,5.40771484375,>5%,image_196.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_197.h5
0,0,40,16344,0.0,0.0,0.0,0.0,0.244140625,0-1%,image_198.h5
819,966,1841,12758,0.22586872586872586,0.4588235294117647,0.3078947368421053,0.36850393700787404,16.2353515625,>5%,image_199.h5
24,0,794,15566,0.029339853300733496,1.0,0.029339853300733496,0.057007125890736345,4.99267578125,3-5%,image_2.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_20.h5
0,8,0,16376,0.0,0.0,0.0,0.0,0.0,0-1%,image_200.h5
10,16,27,16331,0.18867924528301888,0.38461538461538464,0.2702702702702703,0.31746031746031744,0.225830078125,0-1%,image_201.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_202.h5
76,0,1356,14952,0.05307262569832402,1.0,0.05307262569832402,0.10079575596816977,8.740234375,>5%,image_203.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_204.h5
176,4,191,16013,0.4743935309973046,0.9777777777777777,0.47956403269754766,0.643510054844607,2.239990234375,1-3%,image_205.h5
0,431,0,15953,0.0,0.0,0.0,0.0,0.0,0-1%,image_206.h5
0,655,0,15729,0.0,0.0,0.0,0.0,0.0,0-1%,image_207.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_208.h5
92,75,178,16039,0.26666666666666666,0.5508982035928144,0.34074074074074073,0.42105263157894735,1.64794921875,1-3%,image_209.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_21.h5
25,12,36,16311,0.3424657534246575,0.6756756756756757,0.4098360655737705,0.5102040816326531,0.372314453125,0-1%,image_210.h5
0,0,103,16281,0.0,0.0,0.0,0.0,0.628662109375,0-1%,image_211.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_212.h5
0,366,37,15981,0.0,0.0,0.0,0.0,0.225830078125,0-1%,image_213.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_214.h5
