Area_Group,IoU,Precision,Recall,F1,Num_Samples,Positive_Ratio_%
0-1%,0.0507354037854989,0.11969877777357608,0.08358545959089027,0.07296091337913178,517,0.1950409702913443
1-3%,0.26855382774368336,0.5717313017114136,0.36656007099403065,0.3726615993987617,157,1.8192364152070064
3-5%,0.31192707488901,0.5785728057216061,0.41298291336649173,0.4258136985938235,55,3.8456587357954546
>5%,0.24153342820889934,0.6699073303256398,0.27974011820267575,0.32438005754846827,71,12.856926716549296
