epoch,lr,train_loss,val_loss,mIoU,OA,NonLandslide_IoU,Landslide_IoU,NonLandslide_F1,Landslide_F1,Landslide_Precision,Landslide_Recall
1,9.99321619703514e-05,0.7024155862396031,0.5743740621878176,0.6308602690696716,0.9802560210227966,0.980102002620697,0.28161850571632385,0.9899510145187378,0.4394732415676117,0.42767077684402466,0.45194560289382935
2,9.972883382072952e-05,0.42068095101623604,0.5481076739272293,0.5758061408996582,0.9509868025779724,0.9503740072250366,0.20123827457427979,0.9745556116104126,0.33505138754844666,0.21822993457317352,0.7210269570350647
3,9.939057285945933e-05,0.3558583313397716,0.6663062046985238,0.5657785534858704,0.9424134492874146,0.9416252970695496,0.18993183970451355,0.9699351191520691,0.31923145055770874,0.20013441145420074,0.7883918881416321
4,9.891830623632339e-05,0.32556962098501707,0.490061201854628,0.6190844774246216,0.9674632549285889,0.9670646786689758,0.27110424637794495,0.9832566380500793,0.42656493186950684,0.30548882484436035,0.7066259384155273
5,9.831332840130888e-05,0.3128113922366157,0.4483842878925557,0.6462310552597046,0.9758191108703613,0.9755447506904602,0.3169173300266266,0.987621009349823,0.48130175471305847,0.38039448857307434,0.6550731062889099
6,9.757729755661012e-05,0.30362006970128436,0.47303279759932537,0.6451818943023682,0.9761056303977966,0.9758407473564148,0.31452298164367676,0.9877726435661316,0.478535532951355,0.38206568360328674,0.6401774883270264
7,9.671223111161149e-05,0.2969784245706916,0.45395314255539254,0.6508945226669312,0.9762112498283386,0.9759345054626465,0.3258545994758606,0.9878206849098206,0.49153897166252136,0.3876798450946808,0.6714088320732117
8,9.572050015330874e-05,0.28174615404454617,0.5321056005906085,0.6417980194091797,0.9747959971427917,0.97450852394104,0.3090875446796417,0.9870896935462952,0.4722183048725128,0.36812910437583923,0.6583751440048218
9,9.460482294732421e-05,0.2778052470109186,0.423168420791626,0.6690397262573242,0.9806005358695984,0.9803886413574219,0.3576907813549042,0.9900972247123718,0.5269105434417725,0.45239734649658203,0.630809485912323
10,9.336825748732972e-05,0.26578357802406366,0.510488198241409,0.6335140466690063,0.9720087647438049,0.9716764688491821,0.29535162448883057,0.9856348037719727,0.45601770281791687,0.3417535126209259,0.6850680112838745
11,9.20141931132985e-05,0.25730254550330356,0.4267052202808614,0.6691403985023499,0.9795948266983032,0.9793590307235718,0.35892176628112793,0.9895718693733215,0.5282449722290039,0.43724673986434937,0.6670739650726318
12,9.05463412215599e-05,0.25482764321586027,0.41325929164886477,0.6775560975074768,0.9806191921234131,0.9803915023803711,0.3747206926345825,0.9900986552238464,0.5451590418815613,0.45576030015945435,0.6781874895095825
13,8.896872509212006e-05,0.24043990912077207,0.4019623951036103,0.686067521572113,0.9826822280883789,0.9824886322021484,0.38964641094207764,0.9911669492721558,0.5607849955558777,0.49569958448410034,0.6455451250076294
14,8.728566886113102e-05,0.23405288849011255,0.39312096177315226,0.6905397176742554,0.9832611680030823,0.9830738306045532,0.3980056345462799,0.9914646744728088,0.569390594959259,0.5089011788368225,0.6461997032165527
15,8.55017856687341e-05,0.22461616552465996,0.3994716157718581,0.6935989260673523,0.9849953055381775,0.9848421812057495,0.4023556411266327,0.9923632144927979,0.5738282799720764,0.5586569905281067,0.5898465514183044
16,8.362196501476348e-05,0.21622166436074375,0.4435637386477723,0.6608685255050659,0.9785674214363098,0.9783244729042053,0.34341251850128174,0.9890434741973877,0.5112540125846863,0.419431209564209,0.6545494198799133
17,8.165135935696696e-05,0.2119936189170761,0.4123275659522232,0.6834627389907837,0.9822773933410645,0.9820786714553833,0.38484686613082886,0.9909583330154419,0.5557969808578491,0.4868992567062378,0.647407054901123
18,7.959536998847742e-05,0.2039576425038378,0.4252253882739009,0.6658275723457336,0.9786314964294434,0.9783790707588196,0.3532760441303253,0.9890714287757874,0.5221049189567566,0.42310819029808044,0.6815768480300903
19,7.745963223324384e-05,0.19741627184081373,0.4090214797428676,0.6941320896148682,0.9844083786010742,0.9842418432235718,0.40402230620384216,0.9920583367347717,0.5755212306976318,0.5391311049461365,0.6171794533729553
20,7.525e-05,0.1950435175271874,0.42837310031968723,0.6801837682723999,0.9820157885551453,0.9818165898323059,0.37855100631713867,0.9908248782157898,0.5492013096809387,0.48115283250808716,0.639668345451355
21,7.297252973710757e-05,0.1892702617937717,0.42030366196924324,0.6895858645439148,0.9836311340332031,0.9834537506103516,0.395717978477478,0.9916578531265259,0.5670457482337952,0.5183034539222717,0.6259073615074158
22,7.063346383225212e-05,0.18541770395274915,0.4389382527799022,0.6856353878974915,0.9829697012901306,0.9827834367752075,0.3884873390197754,0.9913169741630554,0.5595835447311401,0.5022203326225281,0.6317405104637146
23,6.823921350249239e-05,0.18037829094103808,0.4191629273550851,0.686182975769043,0.9824934005737305,0.9822951555252075,0.39007073640823364,0.9910684823989868,0.5612242817878723,0.4916422367095947,0.6537493467330933
24,6.57963412215599e-05,0.1789183026279202,0.40682940677720675,0.7015142440795898,0.9850481152534485,0.9848857522010803,0.4181426763534546,0.9923853278160095,0.589704692363739,0.5562778115272522,0.6274056434631348
25,6.331154273257477e-05,0.17306464970519775,0.4088825644279013,0.6953980922698975,0.9840900301933289,0.9839144349098206,0.40688180923461914,0.9918919801712036,0.5784164667129517,0.5294956564903259,0.6372972726821899
26,6.079162869547909e-05,0.1715492660919595,0.41545501144564884,0.6936888098716736,0.9835559129714966,0.9833705425262451,0.40400710701942444,0.9916155338287354,0.575505793094635,0.515774667263031,0.650883674621582
27,5.8243506019491436e-05,0.1694010179837963,0.4119288123383814,0.7049858570098877,0.9856602549552917,0.9855069518089294,0.4244648218154907,0.9927005767822266,0.5959638953208923,0.5758545994758606,0.6175285577774048
28,5.5674158931748854e-05,0.16589389058532575,0.43162576130458286,0.6956693530082703,0.9843814969062805,0.9842121601104736,0.4071265161037445,0.9920432567596436,0.57866370677948,0.5377936959266663,0.6262564659118652
29,5.3090629834025715e-05,0.16536465742990322,0.4346644304236587,0.6897997856140137,0.9832020998001099,0.9830145835876465,0.39658504724502563,0.9914345741271973,0.5679354071617126,0.5075416564941406,0.644643247127533
30,5.0500000000000015e-05,0.1632690201757393,0.4340927912264454,0.697883665561676,0.9847145676612854,0.9845495820045471,0.41121771931648254,0.9922146797180176,0.5827842354774475,0.5471667051315308,0.6233617067337036
31,4.7909370165974294e-05,0.16076522403075275,0.4288896268727828,0.6937810182571411,0.9840364456176758,0.983862042427063,0.40369993448257446,0.9918653964996338,0.5751940608024597,0.5284172296524048,0.6310567855834961
32,4.532584106825116e-05,0.1597068652130171,0.42604104742711907,0.6942620873451233,0.9836946725845337,0.9835116267204285,0.4050125479698181,0.9916872978210449,0.5765251517295837,0.5191931128501892,0.6480907797813416
33,4.275649398050858e-05,0.15696553727079926,0.41325603018001633,0.7048581838607788,0.9855262041091919,0.9853700995445251,0.42434629797935486,0.9926311373710632,0.5958471298217773,0.5709638595581055,0.622998058795929
34,4.0208371304520915e-05,0.15622643935787078,0.4274949939883485,0.7008915543556213,0.9855219721794128,0.9853708148002625,0.41641226410865784,0.9926314949989319,0.5879817605018616,0.5734990835189819,0.6032148003578186
35,3.7688457267425234e-05,0.15328455528292917,0.4177109397187525,0.7017495632171631,0.9852317571640015,0.9850731492042542,0.4184260070323944,0.992480456829071,0.5899863839149475,0.5623961687088013,0.6204233169555664
36,3.5203658778440106e-05,0.15332911505012584,0.4359715286566287,0.694209635257721,0.9842023849487305,0.984031081199646,0.4043882191181183,0.9919512867927551,0.5758923292160034,0.533004879951477,0.6262855529785156
