epoch,train_loss,val_loss,lr,miou,oa,non_iou,landslide_iou,landslide_f1,precision,recall,tn,fp,fn,tp,best_landslide_iou
1,1.302494,1.028054,2.998012825394132e-05,0.593178,0.974515,0.974339,0.212018,0.349859,0.310652,0.400393,3884256.0,61079.0,41220.0,27525.0,0.21201780872565937
2,0.990139,0.964049,2.992056748283996e-05,0.626338,0.977319,0.977121,0.275554,0.432054,0.378226,0.503746,3888406.0,56929.0,34115.0,34630.0,0.2755542116905645
3,0.894144,0.929093,2.9821480938629495e-05,0.634464,0.984879,0.984788,0.284139,0.442536,0.600294,0.35044,3929294.0,16041.0,44654.0,24091.0,0.28413889085462224
4,0.818856,0.828799,2.968314021064018e-05,0.680692,0.983334,0.983163,0.378222,0.548855,0.511604,0.591956,3906487.0,38848.0,28051.0,40694.0,0.3782216315187791
5,0.773159,0.831455,2.9505924481191486e-05,0.672501,0.984671,0.984538,0.360464,0.529914,0.558039,0.504488,3917868.0,27467.0,34064.0,34681.0,0.3782216315187791
6,0.732979,0.7727,2.9290319486279726e-05,0.6913,0.986531,0.986411,0.396189,0.56753,0.630458,0.516023,3924542.0,20793.0,33271.0,35474.0,0.39618932743639573
7,0.693596,0.775381,2.9036916184209422e-05,0.681842,0.985876,0.985754,0.37793,0.548547,0.606028,0.501026,3922944.0,22391.0,34302.0,34443.0,0.39618932743639573
8,0.664272,0.785193,2.874640913581771e-05,0.667399,0.986584,0.986487,0.348311,0.516662,0.674486,0.418692,3931444.0,13891.0,39962.0,28783.0,0.39618932743639573
9,0.637639,0.734452,2.841959460073133e-05,0.701212,0.986983,0.986861,0.415563,0.587135,0.642652,0.540447,3924676.0,20659.0,31592.0,37153.0,0.415563062055389
10,0.617184,0.718289,2.805736835487436e-05,0.695152,0.986499,0.986375,0.403929,0.575426,0.62354,0.534206,3923163.0,22172.0,32021.0,36724.0,0.415563062055389
11,0.600823,0.699422,2.7660723235208646e-05,0.699948,0.985912,0.98577,0.414127,0.5857,0.589979,0.581482,3917554.0,27781.0,28771.0,39974.0,0.415563062055389
12,0.593791,0.72621,2.7230746418436735e-05,0.681444,0.987202,0.987102,0.375787,0.546286,0.695246,0.449895,3931778.0,13557.0,37817.0,30928.0,0.415563062055389
13,0.576727,0.685825,2.6768616441126075e-05,0.71083,0.987855,0.987741,0.433919,0.605221,0.682594,0.543603,3927958.0,17377.0,31375.0,37370.0,0.433919323750029
14,0.571652,0.691524,2.6275599969422212e-05,0.697326,0.986308,0.986177,0.408475,0.580024,0.610943,0.552084,3921166.0,24169.0,30792.0,37953.0,0.433919323750029
15,0.563017,0.685228,2.5753048327204935e-05,0.703116,0.987535,0.987422,0.41881,0.590368,0.675149,0.524504,3927986.0,17349.0,32688.0,36057.0,0.433919323750029
16,0.562363,0.712307,2.520239379220344e-05,0.686268,0.987361,0.987261,0.385275,0.556244,0.697602,0.462521,3931552.0,13783.0,36949.0,31796.0,0.433919323750029
17,0.55217,0.722832,2.4625145670222638e-05,0.680739,0.987824,0.987735,0.373743,0.544123,0.75828,0.424293,3936037.0,9298.0,39577.0,29168.0,0.433919323750029
18,0.547762,0.703821,2.4022886158240854e-05,0.69188,0.988033,0.987938,0.395822,0.567152,0.745158,0.457793,3934572.0,10763.0,37274.0,31471.0,0.433919323750029
19,0.550453,0.678412,2.3397266007717887e-05,0.704824,0.986934,0.986808,0.422839,0.59436,0.634598,0.558921,3923211.0,22124.0,30322.0,38423.0,0.433919323750029
20,0.542945,0.684722,2.2749999999999994e-05,0.698436,0.98601,0.985872,0.411,0.582566,0.595677,0.57002,3918737.0,26598.0,29559.0,39186.0,0.433919323750029
21,0.544412,0.718703,2.2082862246223422e-05,0.683048,0.987545,0.98745,0.378646,0.549301,0.722224,0.443189,3933617.0,11718.0,38278.0,30467.0,0.433919323750029
22,0.541626,0.724254,2.13976813245991e-05,0.672585,0.985218,0.985094,0.360076,0.529494,0.58202,0.485664,3921358.0,23977.0,35358.0,33387.0,0.433919323750029
23,0.540875,0.72433,2.0696335268406854e-05,0.678082,0.987774,0.987686,0.368477,0.538522,0.761583,0.416525,3936371.0,8964.0,40111.0,28634.0,0.433919323750029
24,0.534147,0.665284,1.9980746418436735e-05,0.712654,0.987272,0.987145,0.438164,0.609338,0.642303,0.579591,3923146.0,22189.0,28901.0,39844.0,0.43816394307959616
25,0.533474,0.699057,1.925287615398655e-05,0.689963,0.987278,0.987172,0.392754,0.563996,0.682699,0.480457,3929984.0,15351.0,35716.0,33029.0,0.43816394307959616
26,0.535344,0.769667,1.8514719516857505e-05,0.652814,0.986856,0.986774,0.318853,0.483531,0.739137,0.359284,3936618.0,8717.0,44046.0,24699.0,0.43816394307959616
27,0.529395,0.698336,1.7768299743083344e-05,0.687944,0.986994,0.986885,0.389004,0.560119,0.665545,0.483526,3928631.0,16704.0,35505.0,33240.0,0.43816394307959616
28,0.525943,0.701285,1.701566271738097e-05,0.689424,0.987369,0.987265,0.391583,0.562788,0.691026,0.474696,3930744.0,14591.0,36112.0,32633.0,0.43816394307959616
29,0.526385,0.723854,1.625887136552268e-05,0.677392,0.986735,0.986632,0.368153,0.538175,0.666459,0.451306,3929808.0,15527.0,37720.0,31025.0,0.43816394307959616
30,0.519592,0.720561,1.55e-05,0.677074,0.986801,0.986699,0.36745,0.537424,0.672097,0.447713,3930319.0,15016.0,37967.0,30778.0,0.43816394307959616
31,0.522332,0.748577,1.4741128634477315e-05,0.66429,0.98697,0.986881,0.341699,0.509353,0.717146,0.394923,3934627.0,10708.0,41596.0,27149.0,0.43816394307959616
32,0.521193,0.702948,1.3984337282619027e-05,0.686208,0.986826,0.986716,0.3857,0.556686,0.656926,0.482988,3927995.0,17340.0,35542.0,33203.0,0.43816394307959616
33,0.516276,0.699774,1.3231700256916652e-05,0.693013,0.987185,0.987075,0.398951,0.570357,0.669733,0.496662,3928498.0,16837.0,34602.0,34143.0,0.43816394307959616
34,0.516479,0.686309,1.2485280483142488e-05,0.701601,0.98752,0.987409,0.415793,0.587364,0.677106,0.518627,3928333.0,17002.0,33092.0,35653.0,0.43816394307959616
35,0.516582,0.681817,1.1747123846013451e-05,0.702813,0.987215,0.987096,0.41853,0.590089,0.654332,0.537334,3925821.0,19514.0,31806.0,36939.0,0.43816394307959616
36,0.518119,0.702297,1.1019253581563263e-05,0.693127,0.987918,0.98782,0.398435,0.56983,0.730052,0.467278,3933457.0,11878.0,36622.0,32123.0,0.43816394307959616
37,0.514853,0.687255,1.0303664731593145e-05,0.699745,0.987414,0.987301,0.412188,0.583758,0.673101,0.515354,3928129.0,17206.0,33317.0,35428.0,0.43816394307959616
38,0.514684,0.743296,9.602318675400898e-06,0.670303,0.986789,0.986692,0.353914,0.522802,0.685352,0.422576,3931998.0,13337.0,39695.0,29050.0,0.43816394307959616
39,0.513446,0.699043,8.91713775377657e-06,0.695096,0.987648,0.987544,0.402648,0.574126,0.700958,0.486159,3931077.0,14258.0,35324.0,33421.0,0.43816394307959616
40,0.512233,0.701217,8.25e-06,0.690403,0.986883,0.98677,0.394036,0.565317,0.653578,0.498058,3927187.0,18148.0,34506.0,34239.0,0.43816394307959616
41,0.511951,0.706128,7.602733992282109e-06,0.688967,0.987355,0.987252,0.390682,0.561857,0.690933,0.473416,3930777.0,14558.0,36200.0,32545.0,0.43816394307959616
42,0.510072,0.730114,6.977113841759139e-06,0.675912,0.987415,0.987323,0.364501,0.534263,0.729396,0.4215,3934585.0,10750.0,39769.0,28976.0,0.43816394307959616
43,0.509233,0.708754,6.374854329777358e-06,0.684754,0.986667,0.986556,0.382952,0.553819,0.64868,0.483162,3927346.0,17989.0,35530.0,33215.0,0.43816394307959616
